epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1082,2.03194,3.55522,1.5158,0.40362,0.3249,0.34334,0.16352,1.72232,2.81994,1.45139,0.000414916,0.000414916,0.000414916
2,124.816,2.00653,2.79557,1.51661,0.49593,0.35368,0.38442,0.19205,1.72776,2.28616,1.551,0.000816614,0.000816614,0.000816614
3,184.008,2.01194,2.63507,1.53244,0.49184,0.43309,0.42929,0.21955,1.7187,2.44054,1.52295,0.00120331,0.00120331,0.00120331
4,242.154,1.99057,2.47181,1.52092,0.61714,0.42244,0.47423,0.23547,1.72289,2.43218,1.48772,0.0011825,0.0011825,0.0011825
5,301.436,1.95605,2.34248,1.48843,0.6248,0.41079,0.50238,0.26538,1.64209,1.96526,1.41618,0.00116,0.00116,0.00116
6,360.617,1.93323,2.2578,1.48065,0.63761,0.50509,0.55867,0.29751,1.62805,1.87281,1.38844,0.0011375,0.0011375,0.0011375
7,419.646,1.91846,2.19169,1.47236,0.65214,0.51681,0.58608,0.31454,1.63829,1.75717,1.41467,0.001115,0.001115,0.001115
8,477.842,1.89167,2.13862,1.45288,0.67647,0.56454,0.6139,0.3335,1.60951,1.7165,1.40663,0.0010925,0.0010925,0.0010925
9,535.439,1.89384,2.11835,1.45284,0.62033,0.52106,0.55267,0.29913,1.63383,1.80236,1.4144,0.00107,0.00107,0.00107
10,594.348,1.85565,2.04694,1.42075,0.67852,0.5463,0.62652,0.34609,1.56865,1.67984,1.3789,0.0010475,0.0010475,0.0010475
11,655.283,1.84496,1.9963,1.42047,0.66984,0.5743,0.63359,0.34114,1.59826,1.85572,1.36424,0.001025,0.001025,0.001025
12,717.931,1.82263,1.94625,1.39922,0.65753,0.48644,0.54201,0.28973,1.62308,2.16831,1.39716,0.0010025,0.0010025,0.0010025
13,782.101,1.81817,1.9315,1.3964,0.6589,0.50764,0.58883,0.32221,1.55778,1.72051,1.34309,0.00098,0.00098,0.00098
14,844.034,1.81611,1.91038,1.38964,0.75186,0.57831,0.66718,0.37619,1.55391,1.55867,1.34351,0.0009575,0.0009575,0.0009575
15,905.195,1.79283,1.86727,1.3835,0.6687,0.60349,0.64612,0.36298,1.56385,1.47565,1.33994,0.000935,0.000935,0.000935
16,965.948,1.78215,1.85387,1.37467,0.67281,0.59547,0.66108,0.3682,1.53051,1.51349,1.33568,0.0009125,0.0009125,0.0009125
17,1027.58,1.76961,1.80394,1.36665,0.74438,0.61056,0.68382,0.37381,1.55195,1.53133,1.33537,0.00089,0.00089,0.00089
18,1087.84,1.76877,1.81691,1.37165,0.74178,0.63106,0.71009,0.39881,1.52837,1.38653,1.33257,0.0008675,0.0008675,0.0008675
19,1147.78,1.74591,1.75807,1.35979,0.75892,0.63222,0.73313,0.41316,1.53266,1.34853,1.30654,0.000845,0.000845,0.000845
20,1207.83,1.74336,1.74019,1.35014,0.80722,0.64358,0.74061,0.41574,1.48248,1.40249,1.30002,0.0008225,0.0008225,0.0008225
21,1268.67,1.73851,1.74144,1.34228,0.79357,0.6263,0.73745,0.4042,1.52858,1.33679,1.32861,0.0008,0.0008,0.0008
22,1330.85,1.73839,1.71936,1.34102,0.75808,0.61998,0.71672,0.39427,1.55269,1.41212,1.34002,0.0007775,0.0007775,0.0007775
23,1393.13,1.72459,1.70292,1.33171,0.77434,0.66456,0.73468,0.41003,1.51819,1.34897,1.32555,0.000755,0.000755,0.000755
24,1455.73,1.72386,1.70647,1.33604,0.77141,0.6203,0.72447,0.414,1.49102,1.35689,1.29337,0.0007325,0.0007325,0.0007325
